SiteID,DepthTop,DepthBot,Week,Rain,Longitude,Latitude,Easting,Northing,DEM,Slope,TWI,Total,K,T,U,Solar,NDVI_05,NDVI_50,NDVI_95,Rain_df_50,Rain_df_70,Rain_df_90,Rain_df_95,Rain_df_99,Rain_df_999,Day,ET20m,ET20m_df_50,ET20m_df_70,ET20m_df_90,ET20m_df_95,ET20m_df_99,ET20m_df_999,SM,Bucket,CLY,SLT,SND,SOC,Date
12,15,30,133,4.971428571428571,148.695,-34.4721,655666.5483,6184193.0032,529.0,5.7353,7.113,63.2836,1.4237,14.421900000000003,1.5324000000000002,8.1393,0.1545,0.348,0.9356,4.902485714285715,4.781985714285715,4.575285714285714,4.578257142857142,4.978771428571428,5.168414285714285,931,0.9979428571428571,0.8885714285714286,0.8574142857142857,0.8435285714285714,0.8452571428571429,0.8582000000000001,0.8628428571428571,110.26097142857144,16.8807,15.2385,16.8992,67.8624,0.5907,2021-07-20
12,15,30,134,2.1714285714285713,148.695,-34.4721,655666.5483,6184193.0032,529.0,5.7353,7.113,63.2836,1.4237,14.421900000000003,1.5324000000000002,8.1393,0.1545,0.348,0.9356,2.2262,2.320685714285714,2.5355857142857148,2.846371428571429,3.6903,3.957842857142857,938,1.0133714285714286,0.8782142857142857,0.8289857142857143,0.7883142857142857,0.7809142857142858,0.7756571428571428,0.7747428571428571,110.49988571428571,16.8807,15.2385,16.8992,67.8624,0.5907,2021-07-27
12,15,30,135,2.3857142857142857,148.695,-34.4721,655666.5483,6184193.0032,529.0,5.7353,7.113,63.2836,1.4237,14.421900000000003,1.5324000000000002,8.1393,0.1545,0.348,0.9356,2.4160714285714286,2.469014285714285,2.5659285714285716,2.613157142857143,2.6793,2.6950714285714286,945,1.0036,0.9535,0.9942,1.0707142857142857,1.0760285714285716,1.0503857142857143,1.0401,110.25657142857142,16.8807,15.2385,16.8992,67.8624,0.5907,2021-08-03
12,15,30,136,1.2714285714285711,148.695,-34.4721,655666.5483,6184193.0032,529.0,5.7353,7.113,63.2836,1.4237,14.421900000000003,1.5324000000000002,8.1393,0.1545,0.348,0.9356,1.2704714285714285,1.2687000000000002,1.2659142857142858,1.2653285714285711,1.2651428571428571,1.2651285714285714,952,1.120642857142857,1.1464571428571428,1.2071285714285713,1.2413142857142856,1.225357142857143,1.1950285714285713,1.1870857142857143,109.04520000000001,16.8807,15.2385,16.8992,67.8624,0.5907,2021-08-10
12,15,30,137,0.3,148.695,-34.4721,655666.5483,6184193.0032,529.0,5.7353,7.113,63.2836,1.4237,14.421900000000003,1.5324000000000002,8.1393,0.1545,0.348,0.9356,0.2951142857142857,0.2866571428571429,0.27114285714285713,0.25815714285714286,0.19907142857142857,0.17408571428571426,959,1.3118714285714286,1.2691571428571429,1.2655857142857143,1.2911714285714286,1.2902857142857143,1.2798714285714285,1.2759857142857143,106.38264285714286,16.8807,15.2385,16.8992,67.8624,0.5907,2021-08-17
12,15,30,138,4.514285714285714,148.695,-34.4721,655666.5483,6184193.0032,529.0,5.7353,7.113,63.2836,1.4237,14.421900000000003,1.5324000000000002,8.1393,0.1545,0.348,0.9356,4.4694,4.390728571428571,4.250042857142857,4.197157142857143,4.170542857142857,4.174557142857142,966,1.6168285714285715,1.4162857142857141,1.3244142857142858,1.283057142857143,1.2885142857142857,1.3071,1.3136714285714286,107.76528571428571,16.8807,15.2385,16.8992,67.8624,0.5907,2021-08-24
12,15,30,139,4.385714285714286,148.695,-34.4721,655666.5483,6184193.0032,529.0,5.7353,7.113,63.2836,1.4237,14.421900000000003,1.5324000000000002,8.1393,0.1545,0.348,0.9356,4.411071428571428,4.455128571428571,4.431571428571429,3.9261285714285714,2.4909571428571433,2.0692714285714287,973,1.6668142857142858,1.3974142857142857,1.3399857142857141,1.3103714285714285,1.2922999999999998,1.2521,1.2396857142857143,106.20504285714286,16.8807,15.2385,16.8992,67.8624,0.5907,2021-08-31
12,15,30,140,0.2285714285714286,148.695,-34.4721,655666.5483,6184193.0032,529.0,5.7353,7.113,63.2836,1.4237,14.421900000000003,1.5324000000000002,8.1393,0.1545,0.348,0.9356,0.22595714285714283,0.2215,0.3183428571428571,0.8636142857142856,2.3651142857142857,2.8045428571428572,980,1.5372857142857141,1.3380428571428573,1.2417285714285715,1.1531142857142858,1.1474285714285715,1.1587,1.1635428571428572,105.74388571428572,16.8807,15.2385,16.8992,67.8624,0.5907,2021-09-07
12,15,30,141,1.2428571428571427,148.695,-34.4721,655666.5483,6184193.0032,529.0,5.7353,7.113,63.2836,1.4237,14.421900000000003,1.5324000000000002,8.1393,0.1545,0.348,0.9356,1.2594142857142856,1.2875571428571428,1.3195,1.2290142857142856,0.9152714285714286,0.8148,987,1.675057142857143,1.6855285714285715,1.6506428571428573,1.582914285714286,1.5477142857142856,1.5042428571428572,1.4946428571428572,100.57672857142857,16.8807,15.2385,16.8992,67.8624,0.5907,2021-09-14
12,15,30,142,0.34285714285714286,148.695,-34.4721,655666.5483,6184193.0032,529.0,5.7353,7.113,63.2836,1.4237,14.421900000000003,1.5324000000000002,8.1393,0.1545,0.348,0.9356,0.3419,0.3401428571428572,0.3574428571428571,0.467,0.7980714285714285,0.9020999999999999,994,1.6669285714285713,1.7316714285714288,1.7650857142857141,1.8389,1.861114285714286,1.8582285714285713,1.8501571428571428,96.10444285714286,16.8807,15.2385,16.8992,67.8624,0.5907,2021-09-21
12,15,30,143,7.614285714285714,148.695,-34.4721,655666.5483,6184193.0032,529.0,5.7353,7.113,63.2836,1.4237,14.421900000000003,1.5324000000000002,8.1393,0.1545,0.348,0.9356,7.608114285714286,7.596628571428572,7.563957142857142,7.469942857142857,7.1176,6.984357142857143,1001,1.1538714285714284,1.4607857142857144,1.5244285714285712,1.5042714285714285,1.4848,1.4926,1.5019142857142855,101.16804285714285,16.8807,15.2385,16.8992,67.8624,0.5907,2021-09-28
12,15,30,144,0.6714285714285715,148.695,-34.4721,655666.5483,6184193.0032,529.0,5.7353,7.113,63.2836,1.4237,14.421900000000003,1.5324000000000002,8.1393,0.1545,0.348,0.9356,0.6375000000000001,0.5783285714285714,0.4823,0.5090714285714285,0.7585285714285713,0.8665571428571429,1008,1.8141714285714285,1.9265857142857143,1.9574142857142858,1.9554714285714285,1.9267285714285713,1.8491,1.8258714285714286,97.82995714285714,16.8807,15.2385,16.8992,67.8624,0.5907,2021-10-05
12,15,30,145,4.5285714285714285,148.695,-34.4721,655666.5483,6184193.0032,529.0,5.7353,7.113,63.2836,1.4237,14.421900000000003,1.5324000000000002,8.1393,0.1545,0.348,0.9356,4.555357142857143,4.601314285714286,4.689542857142857,4.724471428571428,4.642914285714285,4.583800000000001,1015,2.0362,2.2063,2.3086999999999995,2.4818,2.5082,2.502085714285714,2.495685714285714,94.80157142857142,16.8807,15.2385,16.8992,67.8624,0.5907,2021-10-12
12,15,30,146,0.0,148.695,-34.4721,655666.5483,6184193.0032,529.0,5.7353,7.113,63.2836,1.4237,14.421900000000003,1.5324000000000002,8.1393,0.1545,0.348,0.9356,0.0,0.0,0.0011571428571428572,0.025385714285714286,0.20704285714285714,0.2915285714285714,1022,1.6177714285714286,1.7413714285714286,1.8584,2.035471428571429,2.1020142857142856,2.1937714285714285,2.2162285714285717,89.6652142857143,16.8807,15.2385,16.8992,67.8624,0.5907,2021-10-19
